Date Time Field[G] Current[A] Source Channel
04-06-2022 00-41-11 0 0 "Power supplay" 1
04-06-2022 00-41-15 0 0 "Power supplay" 1
04-06-2022 00-44-13 9976.395 15.3483 "Power supplay" 2
04-06-2022 00-45-17 9998.95 15.383 "Power supplay" 2
04-06-2022 00-45-21 9998.95 15.383 "Power supplay" 2
04-06-2022 00-58-50 -9998.885 -15.3829 "Power supplay" 2
04-06-2022 00-58-53 -9998.885 -15.3829 "Power supplay" 2
04-06-2022 01-12-22 9998.885 15.3829 "Power supplay" 2
04-06-2022 01-12-26 9998.885 15.3829 "Power supplay" 2
04-06-2022 01-25-55 -9998.82 -15.3828 "Power supplay" 2
04-06-2022 01-25-59 -9998.82 -15.3828 "Power supplay" 2
04-06-2022 01-39-28 9999.015 15.3831 "Power supplay" 2
04-06-2022 01-39-31 9999.015 15.3831 "Power supplay" 2
04-06-2022 01-53-00 -9998.82 -15.3828 "Power supplay" 2
04-06-2022 01-53-03 -9998.82 -15.3828 "Power supplay" 2
04-06-2022 02-06-32 9998.82 15.3828 "Power supplay" 2
04-06-2022 02-06-36 9998.82 15.3828 "Power supplay" 2
04-06-2022 02-06-42 9999.665 15.3841 "Power supplay" 2
04-06-2022 02-21-07 -19999.315 -57.1409 "Power supplay" 1
04-06-2022 02-21-11 -19999.315 -57.1409 "Power supplay" 1
04-06-2022 02-30-18 0.98 0.0028 "Power supplay" 1
04-06-2022 02-30-22 0.98 0.0028 "Power supplay" 1
04-06-2022 02-33-16 9998.82 15.3828 "Power supplay" 2
04-06-2022 02-46-46 -9998.885 -15.3829 "Power supplay" 2
04-06-2022 02-46-49 -9998.885 -15.3829 "Power supplay" 2
04-06-2022 03-00-19 9999.015 15.3831 "Power supplay" 2
04-06-2022 03-00-23 9999.015 15.3831 "Power supplay" 2
04-06-2022 03-13-53 -9998.95 -15.383 "Power supplay" 2
04-06-2022 03-13-56 -9998.95 -15.383 "Power supplay" 2
04-06-2022 03-27-26 9999.015 15.3831 "Power supplay" 2
04-06-2022 03-27-30 9999.015 15.3831 "Power supplay" 2
04-06-2022 03-41-00 -9998.95 -15.383 "Power supplay" 2
04-06-2022 03-41-03 -9998.95 -15.383 "Power supplay" 2
04-06-2022 03-54-33 9999.015 15.3831 "Power supplay" 2
04-06-2022 03-54-36 9999.015 15.3831 "Power supplay" 2
04-06-2022 04-01-42 1.17 0.0018 "Power supplay" 2
04-06-2022 04-01-45 1.17 0.0018 "Power supplay" 2
05-07-2022 10-04-19 199.78 0.5708 "Power supplay" 1
